day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
0;0;ASH_COATED_OSMIUM;9995;16;9992;26;;;10011;16;10013;26;;;10003;0.0
0;0;INTARIAN_PEPPER_ROOT;11991;31;;;;;12006;11;12009;31;;;11998;0.0
0;100;INTARIAN_PEPPER_ROOT;11991;28;;;;;12007;10;12010;28;;;11999;0.0
0;100;ASH_COATED_OSMIUM;9995;19;9992;32;;;10011;19;10013;32;;;10003;0.0
0;200;INTARIAN_PEPPER_ROOT;11994;11;11991;28;;;12010;28;;;;;12002;0.0
0;200;ASH_COATED_OSMIUM;9994;19;;;;;;;;;;;9994;0.0
0;300;ASH_COATED_OSMIUM;9994;15;9992;34;;;10013;34;;;;;10004;0.0
0;300;INTARIAN_PEPPER_ROOT;11994;10;;;;;12007;10;12010;29;;;12000;0.0
0;400;ASH_COATED_OSMIUM;10003;10;9994;15;9991;31;10010;15;10012;31;;;10006;0.0
0;400;INTARIAN_PEPPER_ROOT;11994;12;11991;19;;;12007;12;12010;19;;;12000;0.0
0;500;INTARIAN_PEPPER_ROOT;;;;;;;12007;11;12010;24;;;12007;0.0
0;500;ASH_COATED_OSMIUM;9994;14;9991;28;;;10010;14;;;;;10002;0.0
0;600;INTARIAN_PEPPER_ROOT;11994;14;11991;29;;;12010;29;;;;;12002;0.0
0;600;ASH_COATED_OSMIUM;9994;16;9991;31;;;10010;16;;;;;10002;0.0
0;700;ASH_COATED_OSMIUM;9994;14;9991;29;;;10012;29;;;;;10003;0.0
0;700;INTARIAN_PEPPER_ROOT;11994;11;11991;30;;;12007;11;12010;30;;;12000;0.0
0;800;ASH_COATED_OSMIUM;;;;;;;;;;;;;0;0.0
0;800;INTARIAN_PEPPER_ROOT;11994;10;11991;25;;;12007;10;;;;;12000;0.0
0;900;INTARIAN_PEPPER_ROOT;11991;31;;;;;12007;10;12010;31;;;11999;0.0
